,0
0,10522633.267348465
1,1033.139809255444
2,261.26791727780534
3,116.68647214187277
4,65.84745744100134
5,42.24988326849136
6,29.40520347794748
7,21.647523829746167
8,16.605399334389343
9,13.14419024377324
10,10.665550987161387
11,8.82965674021672
12,7.431875539789316
13,6.34300150812108
14,5.478189936568374
15,4.7798570353873915
16,4.207804491470918
17,3.7332795160298056
18,3.3352748055130674
19,2.9981525570371206
20,2.7100774270458388
21,2.461958291438044
22,2.2467183829205544
23,2.058782298177473
24,1.8937092283577905
25,1.7479266425119961
26,1.6185341640538828
27,1.5031572628294543
28,1.3998368074637637
29,1.3069447720312264
30,1.223119249841885
31,1.1472138799765945
32,1.0782581452115547
33,1.0154259497729854
34,0.9580105603053215
35,0.9054044785537224
36,0.8570831666744574
37,0.812591804663557
38,0.7715344509068345
39,0.7335651199526861
40,0.6983803994243659
41,0.6657133098605252
42,0.6353281739072569
43,0.607016309540154
44,0.580592399421012
45,0.5558914177051406
46,0.5327660185531327
47,0.5110843087159511
48,0.4907279409470749
49,0.47159047647818336
50,0.45357597400655975
51,0.43659777006789563
52,0.4205774216809648
53,0.4054437870411899
54,0.3911322240342356
55,0.3775838896164152
56,0.3647451258050912
57,0.3525669202505087
58,0.3410044312082281
59,0.3300165682689745
60,0.3195656214865275
61,0.30961693261962686
62,0.3001386031073439
63,0.2911012341588181
64,0.282477694981755
65,0.2742429157195134
66,0.2663737021300463
67,0.25884856943499834
68,0.2516475931044792
69,0.2447522746320314
70,0.23814542060218527
71,0.23181103356636443
72,0.2257342134268353
73,0.21990106818735564
74,0.21429863306680497
75,0.20891479709155616
76,0.20373823638615454
77,0.1987583534723819
78,0.19396522196572497
79,0.1893495361273031
80,0.1849025647898164
81,0.18061610922913268
82,0.17648246459976472
83,0.172494384593582
84,0.16864504901731645
85,0.16492803401637954
86,0.16133728470084358
87,0.1578670899544777
88,0.1545120592299824
89,0.15126710115331213
90,0.14812740377756303
91,0.1450884163425691
92,0.1421458324102932
93,0.1392955742586135
94,0.13653377842723377
95,0.13385678231946202
96,0.13126111177255154
97,0.12874346951733445
98,0.12630072445512397
99,0.12392990168634208
100,0.12162817323119789
101,0.11939284938802562
102,0.11722137067963823
103,0.11511130034238594
104,0.1130603173164784
105,0.11106620969967361
106,0.10912686862962527
107,0.10724028256307448
108,0.10540453192271877
109,0.10361778408496823
110,0.10187828868398256
111,0.10018437320936927
